university,url,overview
RWTH Aachen,https://www.fb1.rwth-aachen.de/global/show_document.asp?id=aaaaaaaaaawjhcd,https://www.fb1.rwth-aachen.de/cms/mathematik-informatik-naturwissenschaft/Die-Fakultaet/Einrichtungen/~gao/Promotionssekretariat/
Uni Augsburg,https://assets.uni-augsburg.de/media/filer_public/ea/49/ea499ab6-ac17-4e8e-90b3-64408d08f820/l-272-2-001.pdf,https://www.uni-augsburg.de/de/services/rechtssammlung/fai-promotionsordnung/
Uni Bamberg,https://www.uni-bamberg.de/fileadmin/abt-studium/Pruefungs-Studienordnungen/Promotionsordnungen/WIAI/PromoWIAI-3.pdf,https://www.uni-bamberg.de/abt-studium/aufgaben/pruefungs-studienordnungen/promotionen/wirtschaftsinformatik-und-angewandte-informatik/
Uni Bayreuth,https://www.amtliche-bekanntmachungen.uni-bayreuth.de/de/amtliche-bekanntmachungen/konsoldFassg-SamSa-ab2023-002/2023-021-1-kF.pdf,https://www.amtliche-bekanntmachungen.uni-bayreuth.de/de/fakultaeten/satzungen_1/pruefungsordnungen/promotion/
FU Berlin,https://www.imp.fu-berlin.de/fbv/prom-habil/Promotionsordnungen/Promotionsordnung-Mathematik-und-Informatik-01_12_2021---deutsch.pdf,https://www.imp.fu-berlin.de/fbv/prom-habil/Promotionsordnungen/index.html
HU Berlin,https://fakultaeten.hu-berlin.de/de/mnf/wisskar/promotionen/42_2018_mnf_promo_druck.pdf,https://fakultaeten.hu-berlin.de/de/mnf/wisskar/promotionen/PromO
TU Berlin,https://www.static.tu.berlin/fileadmin/www/10005696/Nachwuchsfoerderung/Promotion/Promotionsordnung/TUBerlin_PO_de_Lesefassung_Stand.Okt.2023.pdf,https://www.tu.berlin/forschen/nachwuchsfoerderung/promotion/promotionsordnung
Uni Bielefeld,https://ekvv.uni-bielefeld.de/sinfo/publ/promoord/163644430/pdf
Uni Bochum,https://informatik.rub.de/wp-content/uploads/2022/03/AB-1454.pdf,https://informatik.rub.de/promotion/uebersicht/
Uni Bonn,https://www.uni-bonn.de/de/forschung-lehre/forschung-und-lehre-medien/promovierende-und-postdocs-medien/ordnungen/promotionsordnung_mnf_amtlbek_2023_de.pdf,https://www.uni-bonn.de/de/forschung-lehre/promovierende-und-postdocs/eine-promotion-planen/zulassung-zur-promotion
TU Braunschweig,https://www.tu-braunschweig.de/fileadmin/Redaktionsgruppen/Fakultaeten/FK5/ordnungen/prom_o2014_eitp.pdf,https://www.tu-braunschweig.de/gradtubs/promotionsvorleistungen/fakultaet-5
Constructor Univ./Bremen (priv.),https://constructor.university/sites/default/files/2023-01/PhD_Policies_v1.5.pdf,https://constructor.university/student-life/student-services/university-policies/academic-policies
Uni Bremen,https://www.uni-bremen.de/fileadmin/user_upload/sites/referate/referat06/8.6.5._PromO_FB_03__2022_.pdf,https://www.uni-bremen.de/byrd/promovierende/promovieren-an-der-universitaet-bremen/promotionsordnungen/
TU Chemnitz,https://www.tu-chemnitz.de/informatik/studium/promotion_habilitation/promotionsordnung-13.03.2019.pdf,https://www.tu-chemnitz.de/informatik/studium/promotion_habilitation/
TU Clausthal,https://tu-clausthal.atlassian.net/wiki/download/attachments/27464537/6.60.01_Promotionsordnung_TUC.pdf?version=1&modificationDate=1675953124167&cacheVersion=1&api=v2&download=true,NA
BTU Cottbus-Senftenberg/Cottbus,https://www-docs.b-tu.de/studierende/public/files/Amtsblatt_02_2018_PromO_Fakultaet1.pdf,NA
TU Darmstadt,https://www.informatik.tu-darmstadt.de/media/informatik/fb20_dekanat/dokumente_promotion/Allgemeine_Bestimmungen_der_Promotionsordnung_der_TU_Darmstadt.pdf,https://www.informatik.tu-darmstadt.de/forschung_fb20/wissenschaftliche_karriere/promotion/index.de.jsp
TU Dortmund,https://cs.tu-dortmund.de/storages/cs/r/Informatik/Dateien/Gremien/Promotionsordnungen_richtlinien/2011/Promotionsordnung-FK4-Lesefassung-1_-AendO.pdf,https://cs.tu-dortmund.de/fakultaet/gremien-und-ansprechpartnerinnen/promotionsausschuss/promotionsordnung-und-richtlinien/
TU Dresden,https://tu-dresden.de/ing/informatik/ressourcen/dateien/postgraduales/20230421_Promotionsordnung.pdf?lang=de,https://tu-dresden.de/ing/informatik/studium/postgraduates/promotion?set_language=de
Uni Duesseldorf,https://www.math-nat-fak.hhu.de/fileadmin/redaktion/Oeffentliche_Medien/Fakultaeten/Mathematisch-Naturwissenschaftliche_Fakultaet/Dekanat/Promotion/PO/Promotionsordnung_MNF_Aenderung_2018_06_15.pdf,https://www.math-nat-fak.hhu.de/promotion/promotionsordnung-und-formulare-zur-promotion
Uni Duisburg-Essen/Duisb.,https://fmidue.github.io/Promotionsausschuss-INKO/Promotionsordnung-2015/Dokumente/PromO_2015.pdf,https://fmidue.github.io/Promotionsausschuss-INKO/
Uni Duisburg-Essen/Essen,https://www.wiwi.uni-due.de/fileadmin/fileupload/WIWI/Forschung/Promotionen/PO_Fakultaet_fuer_Wirtschaftswissenschaften_20190409_1.pdf,https://www.wiwi.uni-due.de/forschung/wissenschaftlicher-nachwuchs/promotionen/
